"date","time.uhi.min","min.urb","min.rur","min.urb.q002","min.rur.q002","time.uhi.max","max.urb","max.rur","max.urb.q098","max.rur.q098","uhi.med","med.urb","med.rur"
2021-08-18,2021-08-18 02:00:00,4.71934795379639,4.09999990463257,4.8895254611969,4.09999990463257,2021-08-18 12:30:00,25.6000003814697,25.6000003814697,25.6000003814697,25.6000003814697,0.1,17.2959805392741,17.1508889075498
2021-08-19,2021-08-19 23:00:00,5.44374990463257,6.74166679382324,5.49678274154663,8.67769603729248,2021-08-19 13:00:00,25.0944442749023,24.9464836120605,25.0388889312744,24.4833335876465,0.2,18.0347848862818,17.7995978462975
2021-08-20,2021-08-20 01:30:00,4.53825235366821,3.38124990463257,5.06874990463257,3.56980623245239,2021-08-20 11:30:00,29.691011428833,29.3854179382324,29.5789352416992,29.2999992370605,0.3,19.1695367994909,18.8515945071475
2021-08-21,2021-08-21 04:30:00,13.5,13.3999996185303,13.5263887405396,13.3999996185303,2021-08-21 11:00:00,34.3930587768555,34.0381660461426,34.3236122131348,33.7861137390137,0.5,22.0818585949991,21.5946290735586
2021-08-22,2021-08-22 01:00:00,9.30000019073486,7.69999980926514,10.6834720611572,7.69999980926514,2021-08-22 11:30:00,26.4916667938232,26.4854164123535,26.4260673522949,26.4576377868652,0.2,17.9327541176597,17.7222585760651
2021-08-23,2021-08-23 05:00:00,5.29305553436279,5.23958349227905,6.60069417953491,6.60763883590698,2021-08-23 11:30:00,25.1979179382324,25.0854167938232,25.1770839691162,25.064582824707,0.3,17.669016120194,17.3833719219784
2021-08-24,2021-08-24 23:00:00,10.8999996185303,10.3000001907349,11.0458326339722,10.3000001907349,2021-08-24 10:00:00,29.3619213104248,30.0743045806885,29.1178089141846,29.6715278625488,0.7,18.2595339038213,17.5627636654264
2021-08-25,2021-08-25 23:00:00,7.90000009536743,7.90000009536743,8.05379343032837,7.90000009536743,2021-08-25 12:00:00,39.3598442077637,36.5494575500488,38.7369518280029,36.0999984741211,1,20.2213061215497,19.2129945363961
2021-08-26,2021-08-26 02:30:00,5.41041660308838,5.40000009536743,5.46076393127441,5.40000009536743,2021-08-26 11:30:00,24.9986114501953,24.9986114501953,24.9847221374512,24.9430561065674,0.2,15.3260539051929,15.0876314438236
2021-08-27,2021-08-27 03:00:00,3.29999995231628,3.29999995231628,3.29999995231628,3.29999995231628,2021-08-27 10:30:00,25.4885864257812,27.1645832061768,25.2132387161255,26.5321662902832,0.6,16.5857476309816,15.9913955895385
2021-08-28,2021-08-28 21:30:00,8.71458339691162,8.60000038146973,8.83958339691162,8.60000038146973,2021-08-28 11:00:00,28.2000007629395,28.2000007629395,28.2000007629395,28.2000007629395,0.5,17.8649697122997,17.3447912038575
2021-08-29,2021-08-29 20:00:00,7.90000009536743,7.90000009536743,7.90000009536743,7.90000009536743,2021-08-29 11:30:00,21.2972259521484,21.1338386535645,21.2614992141724,21.0458335876465,0.1,15.6836219485609,15.6139388581685
2021-08-30,2021-08-30 05:30:00,14.1020841598511,14.1637010574341,14.122917175293,14.1770830154419,2021-08-30 11:30:00,26.8999996185303,27.1031093597412,26.8094617843628,26.8999996185303,0.3,18.3525105661503,18.0303506024717
2021-08-31,2021-08-31 05:30:00,10.3000001907349,10.3000001907349,10.5722222328186,10.3000001907349,2021-08-31 13:00:00,29.2937488555908,28.9433155059814,29.2312488555908,28.3999996185303,0.4,18.2988466085368,17.9327099724967
2021-09-01,2021-09-01 17:30:00,6,6,6,6,2021-09-01 12:00:00,28.5,28.5,28.5,28.5,0.3,17.0593069562627,16.7659428280818
2021-09-02,2021-09-02 02:30:00,11.7522621154785,11.4729166030884,11.7780385017395,11.6201383209229,2021-09-02 14:00:00,32.8660697937012,31.8166103363037,32.4280101776123,30.2594905853271,0.9,19.336741364096,18.4620662541809
2021-09-03,2021-09-03 05:00:00,9.82935523986816,9.10000038146973,10.0243053436279,9.26791698455811,2021-09-03 13:00:00,38.5584297180176,37.3668022155762,38.165979385376,35.5791664123535,1.1,21.3367138068393,20.2359164006485
2021-09-04,2021-09-04 05:30:00,11.8000001907349,11.7402782440186,11.8000001907349,11.7653618621826,2021-09-04 12:00:00,32.8820457458496,32.4000015258789,32.6434329986572,32.4000015258789,0.6,19.8001728404489,19.2451969526582
2021-09-05,2021-09-05 02:00:00,11.1999998092651,11.1999998092651,11.1999998092651,11.1999998092651,2021-09-05 12:30:00,40.4397048950195,40.4046020507812,39.9867706298828,39.5504182434082,0.7,21.8087215209553,21.1325319039427
2021-09-06,2021-09-06 04:30:00,11.3381948471069,11.3000001907349,11.3798608779907,11.3000001907349,2021-09-06 12:00:00,35.09375,35.0125732421875,35.0934795379639,34.507922668457,0.9,21.720669702271,20.7805659270715
2021-09-07,2021-09-07 05:00:00,9,8.73124980926514,9.12749547958374,8.82415500640869,2021-09-07 11:30:00,39.6680564880371,40.2185897827148,39.6084213256836,39.2166668701172,0.6,22.3255075701487,21.7145600112529
2021-09-08,2021-09-08 03:30:00,12.1999998092651,11.8000001907349,12.3999996185303,11.8000001907349,2021-09-08 12:00:00,43.6459350585938,41.0084114074707,42.9413192749023,38.7643807983398,1.1,24.0615929881902,22.9126597929637
2021-09-09,2021-09-09 04:00:00,16.3263893127441,16.2000007629395,16.3680553436279,16.2186120605469,2021-09-09 12:30:00,34.2979164123535,34.0895843505859,34.2770843505859,34,0.6,22.6224755083558,21.9998517856245
2021-09-10,2021-09-10 23:00:00,14.652777671814,14.5,14.8194437026978,14.5,2021-09-10 13:00:00,30.5951385498047,30.3363723754883,30.5465278625488,30,0.3,19.9285742676309,19.6477448748871
